"date","daily","average"
"24-02-2021",9494,5973
"25-02-2021",10838,7198
"26-02-2021",11001,8161
"27-02-2021",3655,8127
"28-02-2021",3224,7877
"01-03-2021",2520,7141
"02-03-2021",2990,6246
"03-03-2021",7533,5966
"04-03-2021",8459,5626
"05-03-2021",8151,5219
"06-03-2021",1393,4896
"07-03-2021",268,4473
"08-03-2021",5213,4858
"09-03-2021",11193,6030
"10-03-2021",10640,6474
"11-03-2021",9127,6569
"12-03-2021",7201,6434
"13-03-2021",329,6282
"14-03-2021",0,6243
"15-03-2021",2209,5814
"16-03-2021",9533,5577
"17-03-2021",11127,5647
"18-03-2021",8862,5609
"19-03-2021",5708,5395
"20-03-2021",0,5348
"21-03-2021",0,5348
"22-03-2021",0,5033
"23-03-2021",11274,5282
"24-03-2021",13551,5628
"25-03-2021",12321,6122
"26-03-2021",10873,6860
"27-03-2021",603,6946
"28-03-2021",0,6946
"29-03-2021",8060,8097
"30-03-2021",12042,8207
"31-03-2021",12171,8010
"01-04-2021",5224,6996
"02-04-2021",0,5443
"03-04-2021",0,5357
"04-04-2021",0,5357
"05-04-2021",0,4205
"06-04-2021",3336,2962
"07-04-2021",6471,2147
"08-04-2021",4720,2075
"09-04-2021",4739,2752
"10-04-2021",38,2758
"11-04-2021",0,2758
"12-04-2021",1381,2955
"13-04-2021",2836,2884
"14-04-2021",0,1959
"15-04-2021",0,1285
"16-04-2021",0,608
"17-04-2021",0,602
"18-04-2021",0,602
"19-04-2021",0,405
"20-04-2021",0,0
"21-04-2021",0,0
"22-04-2021",0,0
"23-04-2021",0,0
"24-04-2021",0,0
"25-04-2021",0,0
"26-04-2021",0,0
"27-04-2021",0,0
"28-04-2021",5530,790
"29-04-2021",9438,2138
"30-04-2021",10065,3576
"01-05-2021",1014,3721
"02-05-2021",0,3721
"03-05-2021",10428,5211
"04-05-2021",10557,6719
"05-05-2021",13526,7861
"06-05-2021",12920,8359
"07-05-2021",15070,9074
"08-05-2021",1309,9116
"09-05-2021",0,9116
"10-05-2021",12750,9447
"11-05-2021",19142,10674
"12-05-2021",16358,11078
"13-05-2021",24439,12724
"14-05-2021",19149,13307
"15-05-2021",5450,13898
"16-05-2021",0,13898
"17-05-2021",14466,14143
"18-05-2021",36665,16647
"19-05-2021",43249,20488
"20-05-2021",47313,23756
"21-05-2021",50029,28167
"22-05-2021",4480,28029
"23-05-2021",2778,28426
"24-05-2021",55488,34286
"25-05-2021",68415,38822
"26-05-2021",73816,43188
"27-05-2021",75804,47259
"28-05-2021",68822,49943
"29-05-2021",3393,49788
"30-05-2021",1732,49639
"31-05-2021",76532,52645
"01-06-2021",72758,53265
"02-06-2021",74228,53324
"03-06-2021",70325,52541
"04-06-2021",67573,52363
"05-06-2021",4915,52580
"06-06-2021",2128,52637
"07-06-2021",80437,53195
"08-06-2021",89336,55563
"09-06-2021",91722,58062
"10-06-2021",80071,59455
"11-06-2021",72454,60152
"12-06-2021",4673,60117
"13-06-2021",2071,60109
"14-06-2021",90232,61508
"15-06-2021",91267,61784
"16-06-2021",6121,49556
"17-06-2021",94045,51552
"18-06-2021",64202,50373
"19-06-2021",2989,50132
"20-06-2021",1326,50026
"21-06-2021",82626,48939
"22-06-2021",77436,46964
"23-06-2021",111063,61955
"24-06-2021",113500,64735
"25-06-2021",111130,71439
"26-06-2021",21332,74059
"27-06-2021",2289,74197
"28-06-2021",102997,77107
"29-06-2021",112670,82140
"30-06-2021",125970,84270
"01-07-2021",129081,86496
"02-07-2021",136954,90185
"03-07-2021",13294,89036
"04-07-2021",8313,89897
"05-07-2021",145382,95952
"06-07-2021",171442,104348
"07-07-2021",188628,113299
"08-07-2021",197712,123104
"09-07-2021",185851,130089
"10-07-2021",21728,131294
"11-07-2021",11697,131777
"12-07-2021",154173,133033
"13-07-2021",144331,129160
"14-07-2021",153557,124150
"15-07-2021",180980,121760
"16-07-2021",176508,120425
"17-07-2021",30063,121616
"18-07-2021",18683,122614
"19-07-2021",233097,133888
"20-07-2021",230268,146165
"21-07-2021",273011,163230
"22-07-2021",253719,173621
"23-07-2021",223093,180276
"24-07-2021",49128,183000
"25-07-2021",27053,184196
"26-07-2021",229322,183656
"27-07-2021",240963,185184
"28-07-2021",210765,176292
"29-07-2021",232480,173258
"30-07-2021",206461,170882
"31-07-2021",40166,169601
"01-08-2021",23218,169054
"02-08-2021",202042,165156
"03-08-2021",212023,161022
"04-08-2021",200558,159564
"05-08-2021",195226,154242
"06-08-2021",168822,148865
"07-08-2021",42026,149131
"08-08-2021",13670,147767
"09-08-2021",19808,121733
"10-08-2021",189676,118541
"11-08-2021",190444,117096
"12-08-2021",183704,115450
"13-08-2021",153999,113332
"14-08-2021",33588,112127
"15-08-2021",13786,112144
"16-08-2021",170413,133659
"17-08-2021",195596,134504
"18-08-2021",208973,137151
"19-08-2021",205638,140285
"20-08-2021",263375,155910
"21-08-2021",68850,160947
"22-08-2021",27389,162891
"23-08-2021",263138,176137
"24-08-2021",285605,188995
"25-08-2021",287704,200243
"26-08-2021",285041,211586
"27-08-2021",276121,213407
"28-08-2021",68643,213377
"29-08-2021",27993,213464
"30-08-2021",267870,214140
"31-08-2021",279047,213203
"01-09-2021",273012,211104
"02-09-2021",270731,209060
"03-09-2021",252060,205622
"04-09-2021",66272,205284
"05-09-2021",24223,204745
"06-09-2021",218828,197739
"07-09-2021",218650,189111
"08-09-2021",233707,183496
"09-09-2021",241143,179269
"10-09-2021",243421,178035
"11-09-2021",59589,177080
"12-09-2021",20425,176538
"13-09-2021",232368,178472
"14-09-2021",265833,185212
